ListName,Id,display_name,Name,label::nepali,media::image::english,media::video::english,media::audio::english,media::image::nepali,media::video::nepali,media::audio::nepali,dist1,q101,q101_b,q101_c,q101_a,q102,q102a
q301a12b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a12b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a12b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a12b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a12b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a12b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a12b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a12b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a12b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a13,1,,Yes,?,,,,,,,,,,,,,
q301a13,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a13b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a13b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a13b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a13b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a13b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a13b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a13b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a13b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a13b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a13b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a14,1,,Yes,?,,,,,,,,,,,,,
q301a14,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a14b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a14b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a14b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a14b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a14b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a14b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a14b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a14b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a14b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a14b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a15,1,,Yes,?,,,,,,,,,,,,,
q301a15,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a15b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a15b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a15b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a15b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a15b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a15b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a15b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a15b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a15b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a15b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a16,1,,Yes,?,,,,,,,,,,,,,
q301a16,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a16b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
